Armagh_,,,
Craigavon Area Hospital_,(048) 38334444__,(048) 38332006_,_CAH_
Cavan_,,,
Cavan General Hospital__,(049) 4376000_,(049) 4376607_,CGH_
Clare__,,,
Mid Western Regional Hospital - Ennis _,(065) 6824464__,(065) 6863121_,ERH_
Cork_,,,
Bantry General Hospital_,(027) 50133_,(027) 52929_,BGH_
Cork University Hospital_,(021) 4922000 _,(021) 4920232_,CUH_
Cork University Maternity Hospital_,(021) 4920500_,(021) 4920598_,CUMH_
Mallow General Hospital_,(022) 21251_,(022) 52506_,MLGH_
Mercy Hospital Cork _,(021) 4271971_,(021) 4935241_,MUH_
South Infirmary Victoria Hospital Cork_,(021) 4926100_,n/a_,SIVH_
Derry_,,,
Athnagelvin Hospital __,(048) 71345171_,(048) 71611379_,AHD_
Donegal_,,,
Letterkenny General Hospital_,(074) 9125888_,(074) 9123595_,LGH_
Down_,,,
"Daisy Hill Hospital, Newry_",(048) 30835000_,(048) 30832406_,DHH_
Dublin_ _ _ _,,,
AMNCH (Tallaght) – Adult_,(01) 4142000_,(01) 4143501_,AMNA_
AMNCH (Tallaght) – Paediatric_,(01) 4142000_,(01) 4143558_,AMNC_
Beaumont Hospital_,(01) 8093000_,(01) 8092714_,BHD_
"Connolly Hospital, Blanchardstown_",(01) 8213844_,(01) 6466250,_ CHD__
Coombe Women’s Hospital_,(01) 4085200_,(01) 4085531__,CWH_
Mater Misericordiae Hospital_,(01) 8032000_,(01) 8032651_,MMH_
"National Children’s Hospital ,Temple St",(01) 8784200_,(01) 8784829_,TCH_
"National Maternity Hospital, Holles St_",(01) 6373100_,n/a__,NMH_
"Our Lady’s Hospital  for Sick Children, Crumlin_",(01) 4096100_,(01) 4096346,OLHC_
Rotunda Hospital_,(01) 8171700_,n/a_,RMH_
Royal Victoria Eye and Ear Hospital_,(01) 6644600_,(01) 6343648_,RVH__
St James’s Hospital_,(01) 4103000_,(01) 4162775_,SJH_
"St Michael’s, Dun Laoghaire_",(01) 2806901_,(01) 6639828_,SMH_
St Vincent’s University Hospita_l,(01) 2214000_,(01) 2214358_,SVH_
Fermanagh,,,
"Erne Hospital, Enniskillen__",(048) 66382000_,n/a_,EHE_
Galway_,,,
"Portiuncula Hospital, Ballinasloe_",(0909) 648200_,(0909) 648248_,PHB_
University Hospital Galway__,(091) 524222_,(091) 544556_,UHG_
Kerry_,,,
Kerry General_,(066) 7184000_,(066) 7184395_,KGH_
Kildare_,,,
Naas General Hospital_,(045) 849500_,(045) 849909_,NGH_
Kilkenny,,,
St Luke’s General Hospital_,(056) 7785000_,(056) 7785403_,SLK_
Laois,,,
"Midland Regional Hospital, Portlaoise_",(057) 8621364_,(057) 8696028_,PMR_
Limerick,,,
Limerick Maternity Hospital (St Munchin’s)_,(061) 327455_,n/a_,LRMH_
"University Hospital_, Limerick",(061) 482219_,(061) 482120_,LRH_
"St John’s Hospital, Limerick_",(061) 462222_,(061) 462130_,SJHL_
Louth,,,
Our Lady of Lourdes Hospital_,(041) 9837601_,(041) 9832321_,OLOL_
Mayo,,,
Mayo General Hospital_,(094) 9021733_,(094) 9042377_,MOGH_
Offaly,,,
Tullamore General Hospital_,(057) 9321501_,(057) 9328021_,TMR_
Sligo,,,
Sligo General Hospital_,(071) 9171111_,(071) 9174506_,SGH_
Tipperary,,,
"Midwestern Regional Hospital, Nenagh_",(067) 31491_,(067) 42311,NRH_
"South Tipperary General Hospital, Clonmel_",(052) 6177000_,(052) 6177042_,STGH_
Waterford,,,
Waterford Regional Hospital_,(051) 848000_,(051) 842445_,WRH_
Westmeath,,,
"Midland Regional Hospital, Mullingar_",(044) 9340221_,(044) 9394121_,MMR_
Wexford,,,
Wexford General Hospital_,(053) 9153000_,(053) 9153313_,WGH_
